start,end,kind,label,note
2026-05-01,2026-05-31,travel,"BC, Japan and Taiwan","Away for the month. Didn't record exact dates, so all of May is marked."
2026-06-01,2026-06-14,illness,Illness,Sick for the first two weeks of June.
2026-08-06,2026-08-07,other,Lower back strain,"Strained it on the Aug 5 heavy lower. Full rest: no gym and nothing at home, just walking. Still sore on the 7th."
2026-08-14,2026-08-19,travel,Out of town (diet and training),"Out of town. Entered ahead of time so the empty week wouldn't look like I'd stopped tracking. The end date moved around before landing on the 19th, since I was home and training on the 20th. Did the away routine on the 15th, 16th, 18th and 19th; nothing on the 14th or 17th."
2026-08-31,2026-09-03,other,Lower back soreness,"Skipped lifting because the lower back had been sore since midday on the 30th and wasn't easing. Not a repeat of the Aug 5 strain, since nothing was sharp or one-sided, but same area and the same trigger, a heavy lower. Saw a chiropractor on the 2nd and was much better on the 3rd. Ends on the 3rd because the BC trip starts the 4th."
2026-09-04,2026-09-13,travel,BC (deload),"BC trip, entered ahead of time. The diet break starts on the 5th, so the 4th still counts against the targets. No lifting, but off-day work carries on. Counting this as the deload, though the plan would say ten days off lifting isn't really one (see docs/training-plan.md). Extend the end date if the trip runs long."
2026-09-23,2026-09-27,travel,Trip (maintenance week),"Trip, entered ahead of time. A maintenance week, not a deload. The away routine and the trunk block every day. Extend the end date if the trip runs long."
